# go_id	kind	status	crystal_refs	notes
align_test.go::test::TestAlignTextVertical	test	missing		auto-generated
ansi_unix.go::func::EnableLegacyWindowsANSI	func	missing		auto-generated
ansi_windows.go::func::EnableLegacyWindowsANSI	func	missing		auto-generated
blending.go::func::Blend1D	func	missing		auto-generated
blending.go::func::Blend2D	func	missing		auto-generated
blending_test.go::test::TestBlend1D	test	missing		auto-generated
blending_test.go::test::TestBlend2D	test	missing		auto-generated
blending_test.go::test::TestBlend2DEdgeCases	test	missing		auto-generated
borders.go::func::ASCIIBorder	func	missing		auto-generated
borders.go::func::BlockBorder	func	missing		auto-generated
borders.go::func::DoubleBorder	func	missing		auto-generated
borders.go::func::HiddenBorder	func	missing		auto-generated
borders.go::func::InnerHalfBlockBorder	func	missing		auto-generated
borders.go::func::MarkdownBorder	func	missing		auto-generated
borders.go::func::NormalBorder	func	missing		auto-generated
borders.go::func::OuterHalfBlockBorder	func	missing		auto-generated
borders.go::func::RoundedBorder	func	missing		auto-generated
borders.go::func::ThickBorder	func	missing		auto-generated
borders.go::method::Border.GetBottomSize	method	missing		auto-generated
borders.go::method::Border.GetLeftSize	method	missing		auto-generated
borders.go::method::Border.GetRightSize	method	missing		auto-generated
borders.go::method::Border.GetTopSize	method	missing		auto-generated
borders.go::struct::Border	struct	missing		auto-generated
borders_test.go::test::TestGetFirstRuneAsString	test	missing		auto-generated
canvas.go::func::NewCanvas	func	missing		auto-generated
canvas.go::method::Canvas.Bounds	method	missing		auto-generated
canvas.go::method::Canvas.CellAt	method	missing		auto-generated
canvas.go::method::Canvas.Clear	method	missing		auto-generated
canvas.go::method::Canvas.Compose	method	missing		auto-generated
canvas.go::method::Canvas.Draw	method	missing		auto-generated
canvas.go::method::Canvas.Height	method	missing		auto-generated
canvas.go::method::Canvas.Render	method	missing		auto-generated
canvas.go::method::Canvas.Resize	method	missing		auto-generated
canvas.go::method::Canvas.SetCell	method	missing		auto-generated
canvas.go::method::Canvas.Width	method	missing		auto-generated
canvas.go::method::Canvas.WidthMethod	method	missing		auto-generated
canvas.go::struct::Canvas	struct	missing		auto-generated
canvas_test.go::test::TestCanvasRender	test	missing		auto-generated
canvas_test.go::test::TestCanvasRenderWithTrailingSpaces	test	missing		auto-generated
color.go::const::Black	const	missing		auto-generated
color.go::const::Blue	const	missing		auto-generated
color.go::const::BrightBlack	const	missing		auto-generated
color.go::const::BrightBlue	const	missing		auto-generated
color.go::const::BrightCyan	const	missing		auto-generated
color.go::const::BrightGreen	const	missing		auto-generated
color.go::const::BrightMagenta	const	missing		auto-generated
color.go::const::BrightRed	const	missing		auto-generated
color.go::const::BrightWhite	const	missing		auto-generated
color.go::const::BrightYellow	const	missing		auto-generated
color.go::const::Cyan	const	missing		auto-generated
color.go::const::Green	const	missing		auto-generated
color.go::const::Magenta	const	missing		auto-generated
color.go::const::Red	const	missing		auto-generated
color.go::const::White	const	missing		auto-generated
color.go::const::Yellow	const	missing		auto-generated
color.go::func::Alpha	func	missing		auto-generated
color.go::func::Color	func	missing		auto-generated
color.go::func::Complementary	func	missing		auto-generated
color.go::func::Complete	func	missing		auto-generated
color.go::func::Darken	func	missing		auto-generated
color.go::func::LightDark	func	missing		auto-generated
color.go::func::Lighten	func	missing		auto-generated
color.go::method::NoColor.RGBA	method	missing		auto-generated
color.go::method::RGBColor.RGBA	method	missing		auto-generated
color.go::struct::NoColor	struct	missing		auto-generated
color.go::struct::RGBColor	struct	missing		auto-generated
color.go::type::ANSIColor	type	missing		auto-generated
color.go::type::CompleteFunc	type	missing		auto-generated
color.go::type::LightDarkFunc	type	missing		auto-generated
color_test.go::test::TestAlpha	test	missing		auto-generated
color_test.go::test::TestComplementary	test	missing		auto-generated
color_test.go::test::TestDarken	test	missing		auto-generated
color_test.go::test::TestHexToColor	test	missing		auto-generated
color_test.go::test::TestLighten	test	missing		auto-generated
color_test.go::test::TestParseHex	test	missing		auto-generated
color_test.go::test::TestRGBA	test	missing		auto-generated
compat/color.go::method::AdaptiveColor.RGBA	method	missing		auto-generated
compat/color.go::method::CompleteAdaptiveColor.RGBA	method	missing		auto-generated
compat/color.go::method::CompleteColor.RGBA	method	missing		auto-generated
compat/color.go::struct::AdaptiveColor	struct	missing		auto-generated
compat/color.go::struct::CompleteAdaptiveColor	struct	missing		auto-generated
compat/color.go::struct::CompleteColor	struct	missing		auto-generated
examples/blending/border-blend-rotation/bubbletea/main.go::method::model.Init	method	missing		auto-generated
examples/blending/border-blend-rotation/bubbletea/main.go::method::model.Update	method	missing		auto-generated
examples/blending/border-blend-rotation/bubbletea/main.go::method::model.View	method	missing		auto-generated
examples/blending/linear-1d/bubbletea/main.go::method::model.Init	method	missing		auto-generated
examples/blending/linear-1d/bubbletea/main.go::method::model.Update	method	missing		auto-generated
examples/blending/linear-1d/bubbletea/main.go::method::model.View	method	missing		auto-generated
examples/blending/linear-2d/bubbletea/main.go::method::model.Init	method	missing		auto-generated
examples/blending/linear-2d/bubbletea/main.go::method::model.Update	method	missing		auto-generated
examples/blending/linear-2d/bubbletea/main.go::method::model.View	method	missing		auto-generated
examples/color/bubbletea/main.go::method::model.Init	method	missing		auto-generated
examples/color/bubbletea/main.go::method::model.Update	method	missing		auto-generated
examples/color/bubbletea/main.go::method::model.View	method	missing		auto-generated
examples/compat/bubbletea/main.go::method::model.Init	method	missing		auto-generated
examples/compat/bubbletea/main.go::method::model.Update	method	missing		auto-generated
examples/compat/bubbletea/main.go::method::model.View	method	missing		auto-generated
examples/list/glow/main.go::method::Document.String	method	missing		auto-generated
examples/list/glow/main.go::struct::Document	struct	missing		auto-generated
examples/tree/selection/main.go::func::Enumerator	func	missing		auto-generated
examples/tree/selection/main.go::func::Indenter	func	missing		auto-generated
examples/tree/selection/main.go::method::dir.String	method	missing		auto-generated
examples/tree/selection/main.go::method::file.Children	method	missing		auto-generated
examples/tree/selection/main.go::method::file.Hidden	method	missing		auto-generated
examples/tree/selection/main.go::method::file.SetHidden	method	missing		auto-generated
examples/tree/selection/main.go::method::file.SetValue	method	missing		auto-generated
examples/tree/selection/main.go::method::file.String	method	missing		auto-generated
examples/tree/selection/main.go::method::file.Value	method	missing		auto-generated
examples/tree/toggle/main.go::method::dir.String	method	missing		auto-generated
examples/tree/toggle/main.go::method::file.String	method	missing		auto-generated
get.go::method::Style.GetAlign	method	missing		auto-generated
get.go::method::Style.GetAlignHorizontal	method	missing		auto-generated
get.go::method::Style.GetAlignVertical	method	missing		auto-generated
get.go::method::Style.GetBackground	method	missing		auto-generated
get.go::method::Style.GetBlink	method	missing		auto-generated
get.go::method::Style.GetBold	method	missing		auto-generated
get.go::method::Style.GetBorder	method	missing		auto-generated
get.go::method::Style.GetBorderBottom	method	missing		auto-generated
get.go::method::Style.GetBorderBottomBackground	method	missing		auto-generated
get.go::method::Style.GetBorderBottomForeground	method	missing		auto-generated
get.go::method::Style.GetBorderBottomSize	method	missing		auto-generated
get.go::method::Style.GetBorderForegroundBlend	method	missing		auto-generated
get.go::method::Style.GetBorderForegroundBlendOffset	method	missing		auto-generated
get.go::method::Style.GetBorderLeft	method	missing		auto-generated
get.go::method::Style.GetBorderLeftBackground	method	missing		auto-generated
get.go::method::Style.GetBorderLeftForeground	method	missing		auto-generated
get.go::method::Style.GetBorderLeftSize	method	missing		auto-generated
get.go::method::Style.GetBorderRight	method	missing		auto-generated
get.go::method::Style.GetBorderRightBackground	method	missing		auto-generated
get.go::method::Style.GetBorderRightForeground	method	missing		auto-generated
get.go::method::Style.GetBorderRightSize	method	missing		auto-generated
get.go::method::Style.GetBorderStyle	method	missing		auto-generated
get.go::method::Style.GetBorderTop	method	missing		auto-generated
get.go::method::Style.GetBorderTopBackground	method	missing		auto-generated
get.go::method::Style.GetBorderTopForeground	method	missing		auto-generated
get.go::method::Style.GetBorderTopSize	method	missing		auto-generated
get.go::method::Style.GetBorderTopWidth	method	missing		auto-generated
get.go::method::Style.GetColorWhitespace	method	missing		auto-generated
get.go::method::Style.GetFaint	method	missing		auto-generated
get.go::method::Style.GetForeground	method	missing		auto-generated
get.go::method::Style.GetFrameSize	method	missing		auto-generated
get.go::method::Style.GetHeight	method	missing		auto-generated
get.go::method::Style.GetHorizontalBorderSize	method	missing		auto-generated
get.go::method::Style.GetHorizontalFrameSize	method	missing		auto-generated
get.go::method::Style.GetHorizontalMargins	method	missing		auto-generated
get.go::method::Style.GetHorizontalPadding	method	missing		auto-generated
get.go::method::Style.GetHyperlink	method	missing		auto-generated
get.go::method::Style.GetInline	method	missing		auto-generated
get.go::method::Style.GetItalic	method	missing		auto-generated
get.go::method::Style.GetMargin	method	missing		auto-generated
get.go::method::Style.GetMarginBottom	method	missing		auto-generated
get.go::method::Style.GetMarginChar	method	missing		auto-generated
get.go::method::Style.GetMarginLeft	method	missing		auto-generated
get.go::method::Style.GetMarginRight	method	missing		auto-generated
get.go::method::Style.GetMarginTop	method	missing		auto-generated
get.go::method::Style.GetMaxHeight	method	missing		auto-generated
get.go::method::Style.GetMaxWidth	method	missing		auto-generated
get.go::method::Style.GetPadding	method	missing		auto-generated
get.go::method::Style.GetPaddingBottom	method	missing		auto-generated
get.go::method::Style.GetPaddingChar	method	missing		auto-generated
get.go::method::Style.GetPaddingLeft	method	missing		auto-generated
get.go::method::Style.GetPaddingRight	method	missing		auto-generated
get.go::method::Style.GetPaddingTop	method	missing		auto-generated
get.go::method::Style.GetReverse	method	missing		auto-generated
get.go::method::Style.GetStrikethrough	method	missing		auto-generated
get.go::method::Style.GetStrikethroughSpaces	method	missing		auto-generated
get.go::method::Style.GetTabWidth	method	missing		auto-generated
get.go::method::Style.GetTransform	method	missing		auto-generated
get.go::method::Style.GetUnderline	method	missing		auto-generated
get.go::method::Style.GetUnderlineColor	method	missing		auto-generated
get.go::method::Style.GetUnderlineSpaces	method	missing		auto-generated
get.go::method::Style.GetUnderlineStyle	method	missing		auto-generated
get.go::method::Style.GetVerticalBorderSize	method	missing		auto-generated
get.go::method::Style.GetVerticalFrameSize	method	missing		auto-generated
get.go::method::Style.GetVerticalMargins	method	missing		auto-generated
get.go::method::Style.GetVerticalPadding	method	missing		auto-generated
get.go::method::Style.GetWidth	method	missing		auto-generated
join.go::func::JoinHorizontal	func	missing		auto-generated
join.go::func::JoinVertical	func	missing		auto-generated
join_test.go::test::TestJoinHorizontal	test	missing		auto-generated
join_test.go::test::TestJoinVertical	test	missing		auto-generated
layer.go::func::NewCompositor	func	missing		auto-generated
layer.go::func::NewLayer	func	missing		auto-generated
layer.go::method::Compositor.AddLayers	method	missing		auto-generated
layer.go::method::Compositor.Bounds	method	missing		auto-generated
layer.go::method::Compositor.Draw	method	missing		auto-generated
layer.go::method::Compositor.GetLayer	method	missing		auto-generated
layer.go::method::Compositor.Hit	method	missing		auto-generated
layer.go::method::Compositor.Refresh	method	missing		auto-generated
layer.go::method::Compositor.Render	method	missing		auto-generated
layer.go::method::Layer.AddLayers	method	missing		auto-generated
