# go_id	kind	status	crystal_refs	notes
align_test.go::test::TestAlignTextVertical	test	missing		heuristic-filter
blending.go::func::Blend1D	func	missing		heuristic-filter
blending.go::func::Blend2D	func	missing		heuristic-filter
blending_test.go::test::TestBlend1D	test	missing		heuristic-filter
blending_test.go::test::TestBlend2D	test	missing		heuristic-filter
blending_test.go::test::TestBlend2DEdgeCases	test	missing		heuristic-filter
borders.go::method::Border.GetBottomSize	method	missing		heuristic-filter
borders.go::method::Border.GetLeftSize	method	missing		heuristic-filter
borders.go::method::Border.GetRightSize	method	missing		heuristic-filter
borders.go::method::Border.GetTopSize	method	missing		heuristic-filter
borders_test.go::test::TestGetFirstRuneAsString	test	missing		heuristic-filter
canvas_test.go::test::TestCanvasRender	test	missing		heuristic-filter
canvas_test.go::test::TestCanvasRenderWithTrailingSpaces	test	missing		heuristic-filter
color.go::method::NoColor.RGBA	method	missing		heuristic-filter
color.go::method::RGBColor.RGBA	method	missing		heuristic-filter
color.go::type::ANSIColor	type	missing		heuristic-filter
color.go::type::CompleteFunc	type	missing		heuristic-filter
color.go::type::LightDarkFunc	type	missing		heuristic-filter
color_test.go::test::TestAlpha	test	missing		heuristic-filter
color_test.go::test::TestComplementary	test	missing		heuristic-filter
color_test.go::test::TestDarken	test	missing		heuristic-filter
color_test.go::test::TestHexToColor	test	missing		heuristic-filter
color_test.go::test::TestLighten	test	missing		heuristic-filter
color_test.go::test::TestParseHex	test	missing		heuristic-filter
color_test.go::test::TestRGBA	test	missing		heuristic-filter
compat/color.go::method::AdaptiveColor.RGBA	method	missing		heuristic-filter
compat/color.go::method::CompleteAdaptiveColor.RGBA	method	missing		heuristic-filter
compat/color.go::method::CompleteColor.RGBA	method	missing		heuristic-filter
examples/blending/border-blend-rotation/bubbletea/main.go::method::model.Init	method	missing		heuristic-filter
examples/blending/border-blend-rotation/bubbletea/main.go::method::model.Update	method	missing		heuristic-filter
examples/blending/border-blend-rotation/bubbletea/main.go::method::model.View	method	missing		heuristic-filter
examples/blending/linear-1d/bubbletea/main.go::method::model.Init	method	missing		heuristic-filter
examples/blending/linear-1d/bubbletea/main.go::method::model.Update	method	missing		heuristic-filter
examples/blending/linear-1d/bubbletea/main.go::method::model.View	method	missing		heuristic-filter
examples/blending/linear-2d/bubbletea/main.go::method::model.Init	method	missing		heuristic-filter
examples/blending/linear-2d/bubbletea/main.go::method::model.Update	method	missing		heuristic-filter
examples/blending/linear-2d/bubbletea/main.go::method::model.View	method	missing		heuristic-filter
examples/color/bubbletea/main.go::method::model.Init	method	missing		heuristic-filter
examples/color/bubbletea/main.go::method::model.Update	method	missing		heuristic-filter
examples/color/bubbletea/main.go::method::model.View	method	missing		heuristic-filter
examples/compat/bubbletea/main.go::method::model.Init	method	missing		heuristic-filter
examples/compat/bubbletea/main.go::method::model.Update	method	missing		heuristic-filter
examples/compat/bubbletea/main.go::method::model.View	method	missing		heuristic-filter
examples/list/glow/main.go::struct::Document	struct	missing		heuristic-filter
get.go::method::Style.GetAlign	method	missing		heuristic-filter
get.go::method::Style.GetAlignHorizontal	method	missing		heuristic-filter
get.go::method::Style.GetAlignVertical	method	missing		heuristic-filter
get.go::method::Style.GetBackground	method	missing		heuristic-filter
get.go::method::Style.GetBlink	method	missing		heuristic-filter
get.go::method::Style.GetBold	method	missing		heuristic-filter
get.go::method::Style.GetBorder	method	missing		heuristic-filter
get.go::method::Style.GetBorderBottomBackground	method	missing		heuristic-filter
get.go::method::Style.GetBorderBottomForeground	method	missing		heuristic-filter
get.go::method::Style.GetBorderBottomSize	method	missing		heuristic-filter
get.go::method::Style.GetBorderForegroundBlend	method	missing		heuristic-filter
get.go::method::Style.GetBorderForegroundBlendOffset	method	missing		heuristic-filter
get.go::method::Style.GetBorderLeftBackground	method	missing		heuristic-filter
get.go::method::Style.GetBorderLeftForeground	method	missing		heuristic-filter
get.go::method::Style.GetBorderLeftSize	method	missing		heuristic-filter
get.go::method::Style.GetBorderRightBackground	method	missing		heuristic-filter
get.go::method::Style.GetBorderRightForeground	method	missing		heuristic-filter
get.go::method::Style.GetBorderRightSize	method	missing		heuristic-filter
get.go::method::Style.GetBorderStyle	method	missing		heuristic-filter
get.go::method::Style.GetBorderTopBackground	method	missing		heuristic-filter
get.go::method::Style.GetBorderTopForeground	method	missing		heuristic-filter
get.go::method::Style.GetBorderTopSize	method	missing		heuristic-filter
get.go::method::Style.GetBorderTopWidth	method	missing		heuristic-filter
get.go::method::Style.GetColorWhitespace	method	missing		heuristic-filter
get.go::method::Style.GetFaint	method	missing		heuristic-filter
get.go::method::Style.GetForeground	method	missing		heuristic-filter
get.go::method::Style.GetFrameSize	method	missing		heuristic-filter
get.go::method::Style.GetHorizontalBorderSize	method	missing		heuristic-filter
get.go::method::Style.GetHorizontalFrameSize	method	missing		heuristic-filter
