# go_source_id	status	crystal_refs	notes
ansi_unix.go::func::EnableLegacyWindowsANSI	missing	TODO	baseline
ansi_windows.go::func::EnableLegacyWindowsANSI	missing	TODO	baseline
blending.go::func::Blend1D	missing	TODO	baseline
blending.go::func::Blend2D	missing	TODO	baseline
borders.go::func::ASCIIBorder	missing	TODO	baseline
borders.go::func::BlockBorder	missing	TODO	baseline
borders.go::func::DoubleBorder	missing	TODO	baseline
borders.go::func::HiddenBorder	missing	TODO	baseline
borders.go::func::InnerHalfBlockBorder	missing	TODO	baseline
borders.go::func::MarkdownBorder	missing	TODO	baseline
borders.go::func::NormalBorder	missing	TODO	baseline
borders.go::func::OuterHalfBlockBorder	missing	TODO	baseline
borders.go::func::RoundedBorder	missing	TODO	baseline
borders.go::func::ThickBorder	missing	TODO	baseline
borders.go::method::GetBottomSize	missing	TODO	baseline
borders.go::method::GetLeftSize	missing	TODO	baseline
borders.go::method::GetRightSize	missing	TODO	baseline
borders.go::method::GetTopSize	missing	TODO	baseline
borders.go::type::Border	missing	TODO	baseline
canvas.go::func::NewCanvas	missing	TODO	baseline
canvas.go::method::Bounds	missing	TODO	baseline
canvas.go::method::CellAt	missing	TODO	baseline
canvas.go::method::Clear	missing	TODO	baseline
canvas.go::method::Compose	missing	TODO	baseline
canvas.go::method::Draw	missing	TODO	baseline
canvas.go::method::Height	missing	TODO	baseline
canvas.go::method::Render	missing	TODO	baseline
canvas.go::method::Resize	missing	TODO	baseline
canvas.go::method::SetCell	missing	TODO	baseline
canvas.go::method::Width	missing	TODO	baseline
canvas.go::method::WidthMethod	missing	TODO	baseline
canvas.go::type::Canvas	missing	TODO	baseline
color.go::func::Alpha	missing	TODO	baseline
color.go::func::Color	missing	TODO	baseline
color.go::func::Complementary	missing	TODO	baseline
color.go::func::Complete	missing	TODO	baseline
color.go::func::Darken	missing	TODO	baseline
color.go::func::LightDark	missing	TODO	baseline
color.go::func::Lighten	missing	TODO	baseline
color.go::method::RGBA	missing	TODO	baseline
color.go::type::ANSIColor	missing	TODO	baseline
color.go::type::CompleteFunc	missing	TODO	baseline
color.go::type::LightDarkFunc	missing	TODO	baseline
color.go::type::NoColor	missing	TODO	baseline
color.go::type::RGBColor	missing	TODO	baseline
compat/color.go::method::RGBA	missing	TODO	baseline
compat/color.go::type::AdaptiveColor	missing	TODO	baseline
compat/color.go::type::CompleteAdaptiveColor	missing	TODO	baseline
compat/color.go::type::CompleteColor	missing	TODO	baseline
examples/blending/border-blend-rotation/bubbletea/main.go::method::Init	missing	TODO	baseline
examples/blending/border-blend-rotation/bubbletea/main.go::method::Update	missing	TODO	baseline
examples/blending/border-blend-rotation/bubbletea/main.go::method::View	missing	TODO	baseline
examples/blending/linear-1d/bubbletea/main.go::method::Init	missing	TODO	baseline
examples/blending/linear-1d/bubbletea/main.go::method::Update	missing	TODO	baseline
examples/blending/linear-1d/bubbletea/main.go::method::View	missing	TODO	baseline
examples/blending/linear-2d/bubbletea/main.go::method::Init	missing	TODO	baseline
examples/blending/linear-2d/bubbletea/main.go::method::Update	missing	TODO	baseline
examples/blending/linear-2d/bubbletea/main.go::method::View	missing	TODO	baseline
examples/color/bubbletea/main.go::method::Init	missing	TODO	baseline
examples/color/bubbletea/main.go::method::Update	missing	TODO	baseline
examples/color/bubbletea/main.go::method::View	missing	TODO	baseline
